"PRODUCT","name_mapping","name"
"Single Strike Urshifu VMAX","urshifu single strike style","Urshifu Single Strike Style"
"Single Strike Urshifu VMAX (Alternate Art Secret)","urshifu single strike style","Urshifu Single Strike Style"
"Single Strike Urshifu VMAX (Secret)","urshifu single strike style","Urshifu Single Strike Style"
"Sizzlipede","sizzlipede","Sizzlipede"
"Sordward & Shielbert","sordward",NA
"Spearow","spearow","Spearow"
"Spewpa","spewpa","Spewpa"
"Spoink","spoink","Spoink"
"Steelix","steelix","Steelix"
"Stonjourner","stonjourner","Stonjourner"
"Stoutland V","stoutland","Stoutland"
"Stoutland V (Full Art)","stoutland","Stoutland"
"Tapu Bulu","tapu bulu","Tapu Bulu"
"Tapu Koko V","tapu koko","Tapu Koko"
"Tapu Koko V (Full Art)","tapu koko","Tapu Koko"
"Tapu Koko VMAX","tapu koko","Tapu Koko"
"Tapu Koko VMAX (Secret)","tapu koko","Tapu Koko"
"Tepig","tepig","Tepig"
"Timburr","timburr","Timburr"
"Tool Jammer","tool jammer",NA
"Tower of Darkness","tower of darkness",NA
"Tower of Waters","tower of waters",NA
"Tyranitar V","tyranitar","Tyranitar"
"Tyranitar V (Alternate Full Art)","tyranitar","Tyranitar"
"Tyranitar V (Full Art)","tyranitar","Tyranitar"
"Urn of Vitality","urn of vitality",NA
"Victini V","victini","Victini"
"Victini V (Full Art)","victini","Victini"
"Victini VMAX","victini","Victini"
"Victini VMAX (Secret)","victini","Victini"
"Victreebel","victreebel","Victreebel"
"Vivillon","vivillon","Vivillon"
"Weepinbell","weepinbell","Weepinbell"
"Yamper","yamper","Yamper"
"Zubat","zubat","Zubat"
"Bulbasaur","bulbasaur","Bulbasaur"
"Charmander","charmander","Charmander"
"Chespin","chespin","Chespin"
"Chikorita","chikorita","Chikorita"
"Chimchar","chimchar","Chimchar"
"Cyndaquil","cyndaquil","Cyndaquil"
"Fennekin","fennekin","Fennekin"
"Froakie","froakie","Froakie"
"Grookey","grookey","Grookey"
"Litten","litten","Litten"
"Mudkip","mudkip","Mudkip"
"Oshawott","oshawott","Oshawott"
"Pikachu","pikachu","Pikachu"
"Piplup","piplup","Piplup"
"Popplio","popplio","Popplio"
"Rowlet","rowlet","Rowlet"
"Scorbunny","scorbunny","Scorbunny"
"Snivy","snivy","Snivy"
"Sobble","sobble","Sobble"
"Squirtle","squirtle","Squirtle"
"Tepig","tepig","Tepig"
"Torchic","torchic","Torchic"
"Totodile","totodile","Totodile"
"Treecko","treecko","Treecko"
"Turtwig","turtwig","Turtwig"
"Alcremie V (Full Art)","alcremie","Alcremie"
"Alcremie VMAX (Secret)","alcremie","Alcremie"
"Ball Guy","ball guy",NA
"Ball Guy (Full Art)","ball guy",NA
"Bird Keeper (Full Art)","bird keeper",NA
"Boss's Orders","boss's orders",NA
"Buizel","buizel","Buizel"
"Cacnea","cacnea","Cacnea"
"Cara Liss (Full Art)","cara liss",NA
"Celebi","celebi","Celebi"
"Chewtle","chewtle","Chewtle"
"Cinderace V","cinderace","Cinderace"
"Cinderace VMAX","cinderace","Cinderace"
"Cramorant","cramorant","Cramorant"
"Cramorant V","cramorant","Cramorant"
"Cramorant VMAX","cramorant","Cramorant"
"Crobat V","crobat","Crobat"
"Crobat VMAX","crobat","Crobat"
"Cufant","cufant","Cufant"
"Dartrix","dartrix","Dartrix"
"Decidueye","decidueye","Decidueye"
"Dhelmise V","dhelmise","Dhelmise"
"Dhelmise VMAX","dhelmise","Dhelmise"
"Ditto V","ditto","Ditto"
"Ditto VMAX","ditto","Ditto"
"Drednaw","drednaw","Drednaw"
"Eevee","eevee","Eevee"
"Eldegoss","eldegoss","Eldegoss"
"Floatzel","floatzel","Floatzel"
"Frosmoth","frosmoth","Frosmoth"
"Galarian Weezing","weezing","Weezing"
"Gossifleur","gossifleur","Gossifleur"
"Greedent V","greedent","Greedent"
"Grookey","grookey","Grookey"
"Gym Trainer","gym trainer",NA
"Gym Trainer (Full Art)","gym trainer",NA
"Horsea","horsea","Horsea"
"Indeedee","indeedee","Indeedee"
"Indeedee V","indeedee","Indeedee"
"Koffing","koffing","Koffing"
"Kyogre","kyogre","Kyogre"
"Luxio","luxio","Luxio"
"Luxray","luxray","Luxray"
"Manaphy","manaphy","Manaphy"
"Morpeko (035)","morpeko","Morpeko"
"Morpeko (036)","morpeko","Morpeko"
"Morpeko V","morpeko","Morpeko"
"Morpeko VMAX","morpeko","Morpeko"
"Nickit","nickit","Nickit"
"Piers (Full Art)","piers",NA
"Poke Kid (Full Art)","poke kid",NA
"Professor's Research","professor's research",NA
"Reshiram","reshiram","Reshiram"
"Rillaboom","rillaboom","Rillaboom"
"Rose (Full Art)","rose",NA
"Rotom","rotom","Rotom"
"Rowlet","rowlet","Rowlet"
"Rusted Shield","rusted shield",NA
"Rusted Sword","rusted sword",NA
"Shinx","shinx","Shinx"
"Skyla (Full Art)","skyla",NA
"Snom","snom","Snom"
"Spinarak","spinarak","Spinarak"
"Team Yell Towel","team yell towel",NA
"Thievul","thievul","Thievul"
"Thwackey","thwackey","Thwackey"
"Trapinch","trapinch","Trapinch"
"Tropius","tropius","Tropius"
"Volcanion","volcanion","Volcanion"
"Yanma","yanma","Yanma"
"Yanmega","yanmega","Yanmega"
"Yveltal","yveltal","Yveltal"
"Zarude","zarude","Zarude"
"Alcremie","alcremie","Alcremie"
"Appletun","appletun","Appletun"
"Applin","applin","Applin"
"Arctovish","arctovish","Arctovish"
"Arctozolt","arctozolt","Arctozolt"
"Arrokuda","arrokuda","Arrokuda"
"Barraskewda","barraskewda","Barraskewda"
"Blipbug","blipbug","Blipbug"
"Boltund","boltund","Boltund"
"Bunnelby","bunnelby","Bunnelby"
"Carkol","carkol","Carkol"
"Centiskorch","centiskorch","Centiskorch"
"Centiskorch V","centiskorch","Centiskorch"
"Centiskorch VMAX","centiskorch","Centiskorch"
"Charizard VMAX","charizard","Charizard"
"Chewtle","chewtle","Chewtle"
"Cinccino","cinccino","Cinccino"
"Cinderace","cinderace","Cinderace"
"Clobbopus","clobbopus","Clobbopus"
"Coalossal","coalossal","Coalossal"
"Copperajah","copperajah","Copperajah"
"Corviknight","corviknight","Corviknight"
"Corvisquire","corvisquire","Corvisquire"
"Cramorant","cramorant","Cramorant"
"Cufant","cufant","Cufant"
"Dartrix","dartrix","Dartrix"
"Decidueye","decidueye","Decidueye"
"Dedenne","dedenne","Dedenne"
"Ditto V","ditto","Ditto"
"Ditto VMAX","ditto","Ditto"
"Dottler","dottler","Dottler"
"Dracovish","dracovish","Dracovish"
"Dracozolt","dracozolt","Dracozolt"
"Dragapult","dragapult","Dragapult"
"Drakloak","drakloak","Drakloak"
"Drednaw","drednaw","Drednaw"
"Dreepy","dreepy","Dreepy"
"Drizzile","drizzile","Drizzile"
"Dubwool","dubwool","Dubwool"
"Dubwool V","dubwool","Dubwool"
"Ducklett","ducklett","Ducklett"
"Duraludon","duraludon","Duraludon"
"Eiscue","eiscue","Eiscue"
"Eldegoss","eldegoss","Eldegoss"
"Eternatus V","eternatus","Eternatus"
"Eternatus VMAX","eternatus","Eternatus"
"Falinks","falinks","Falinks"
"Falinks V","falinks","Falinks"
"Flapple","flapple","Flapple"
"Frosmoth","frosmoth","Frosmoth"
"Galarian Corsola","corsola","Corsola"
"Galarian Cursola","cursola","Cursola"
"Galarian Darmanitan","darmanitan","Darmanitan"
"Galarian Darumaka","darumaka","Darumaka"
"Galarian Farfetch'd","farfetch'd","Farfetch'd"
"Galarian Linoone","linoone","Linoone"
"Galarian Meowth","meowth","Meowth"
"Galarian Mr. Mime","mr. mime","Mr. Mime"
"Galarian Mr. Rime","mr. rime","Mr. Rime"
"Galarian Obstagoon","obstagoon","Obstagoon"
"Galarian Perrserker","perrserker","Perrserker"
"Galarian Ponyta","ponyta","Ponyta"
"Galarian Rapidash","rapidash","Rapidash"
"Galarian Runerigus","runerigus","Runerigus"
"Galarian Sirfetch'd","sirfetch'd","Sirfetch'd"
"Galarian Stunfisk","stunfisk","Stunfisk"
"Galarian Weezing","weezing","Weezing"
"Galarian Yamask","yamask","Yamask"
"Galarian Zigzagoon","zigzagoon","Zigzagoon"
"Gossifleur","gossifleur","Gossifleur"
"Grapploct","grapploct","Grapploct"
"Greedent","greedent","Greedent"
"Grimmsnarl","grimmsnarl","Grimmsnarl"
"Grimmsnarl V","grimmsnarl","Grimmsnarl"
"Grimmsnarl VMAX","grimmsnarl","Grimmsnarl"
"Grookey","grookey","Grookey"
"Hatenna","hatenna","Hatenna"
"Hatterene","hatterene","Hatterene"
"Hattrem","hattrem","Hattrem"
"Impidimp","impidimp","Impidimp"
"Indeedee","indeedee","Indeedee"
"Indeedee V","indeedee","Indeedee"
"Inteleon","inteleon","Inteleon"
"Koffing","koffing","Koffing"
"Lapras V","lapras","Lapras"
"Lapras VMAX","lapras","Lapras"
"Milcery","milcery","Milcery"
"Minccino (145)","minccino","Minccino"
"Morgrem","morgrem","Morgrem"
"Morpeko","morpeko","Morpeko"
"Nickit","nickit","Nickit"
"Oranguru","oranguru","Oranguru"
"Orbeetle","orbeetle","Orbeetle"
"Pincurchin","pincurchin","Pincurchin"
"Polteageist","polteageist","Polteageist"
"Raboot","raboot","Raboot"
"Rillaboom","rillaboom","Rillaboom"
"Rillaboom V","rillaboom","Rillaboom"
"Rillaboom VMAX","rillaboom","Rillaboom"
"Rolycoly","rolycoly","Rolycoly"
"Rookidee","rookidee","Rookidee"
"Rotom","rotom","Rotom"
"Rowlet","rowlet","Rowlet"
"Sandaconda","sandaconda","Sandaconda"
"Scorbunny","scorbunny","Scorbunny"
"Silicobra","silicobra","Silicobra"
"Sinistea","sinistea","Sinistea"
"Sizzlipede","sizzlipede","Sizzlipede"
"Skwovet","skwovet","Skwovet"
"Snom","snom","Snom"
"Sobble","sobble","Sobble"
"Stonjourner","stonjourner","Stonjourner"
"Suicune","suicune","Suicune"
"Swanna","swanna","Swanna"
"Thievul","thievul","Thievul"
"Thwackey","thwackey","Thwackey"
"Toxel","toxel","Toxel"
"Toxtricity","toxtricity","Toxtricity"
"Toxtricity V","toxtricity","Toxtricity"
"Toxtricity VMAX","toxtricity","Toxtricity"
"Wooloo","wooloo","Wooloo"
"Yamper","yamper","Yamper"
"Bulbasaur","bulbasaur","Bulbasaur"
"Charmander","charmander","Charmander"
"Chespin","chespin","Chespin"
"Chikorita","chikorita","Chikorita"
"Chimchar","chimchar","Chimchar"
"Cyndaquil","cyndaquil","Cyndaquil"
"Fennekin","fennekin","Fennekin"
"Froakie","froakie","Froakie"
"Grookey","grookey","Grookey"
"Litten","litten","Litten"
"Mudkip","mudkip","Mudkip"
"Oshawott","oshawott","Oshawott"
"Pikachu","pikachu","Pikachu"
"Piplup","piplup","Piplup"
"Popplio","popplio","Popplio"
"Rowlet","rowlet","Rowlet"
"Scorbunny","scorbunny","Scorbunny"
"Snivy","snivy","Snivy"
"Sobble","sobble","Sobble"
"Squirtle","squirtle","Squirtle"
"Tepig","tepig","Tepig"
"Torchic","torchic","Torchic"
"Totodile","totodile","Totodile"
"Treecko","treecko","Treecko"
"Turtwig","turtwig","Turtwig"
"Aegislash V","aegislash","Aegislash"
"Aegislash V (Full Art)","aegislash","Aegislash"
"Aegislash VMAX","aegislash","Aegislash"
"Aegislash VMAX (Secret)","aegislash","Aegislash"
"Alakazam V (Full Art)","alakazam","Alakazam"
"Alcremie","alcremie","Alcremie"
"Allister","allister",NA
"Allister (Full Art)","allister",NA
"Allister (Secret)","allister",NA
"Ampharos V","ampharos","Ampharos"
"Ampharos V (Full Art)","ampharos","Ampharos"
"Aromatic Grass Energy","aromatic grass energy",NA
"Arrokuda","arrokuda","Arrokuda"
"Banette","banette","Banette"
"Barraskewda","barraskewda","Barraskewda"
"Bea","bea",NA
"Bea (Full Art)","bea",NA
"Bea (Secret)","bea",NA
"Beauty","beauty",NA
"Beauty (Full Art)","beauty",NA
"Beauty (Secret)","beauty",NA
"Beedrill","beedrill","Beedrill"
"Beldum","beldum","Beldum"
"Blitzle","blitzle","Blitzle"
"Cape of Toughness (Secret)","cape of toughness",NA
"Cara Liss","cara liss",NA
"Celebi","celebi","Celebi"
"Charizard","charizard","Charizard"
"Charmander","charmander","Charmander"
"Charmeleon","charmeleon","Charmeleon"
"Chatot","chatot","Chatot"
"Chewtle","chewtle","Chewtle"
"Chimecho","chimecho","Chimecho"
"Circhester Bath","circhester bath",NA
"Clefable","clefable","Clefable"
"Clefairy","clefairy","Clefairy"
"Clobbopus","clobbopus","Clobbopus"
"Coalossal V","coalossal","Coalossal"
"Coalossal V (Full Art)","coalossal","Coalossal"
"Coalossal VMAX","coalossal","Coalossal"
"Coalossal VMAX (Secret)","coalossal","Coalossal"
"Coating Metal Energy","coating metal energy",NA
"Cottonee","cottonee","Cottonee"
"Cramorant","cramorant","Cramorant"
"Dedenne","dedenne","Dedenne"
"Dewott","dewott","Dewott"
"Dhelmise","dhelmise","Dhelmise"
"Dialga","dialga","Dialga"
