"PRODUCT","name_mapping","name"
"Pancham","pancham","Pancham"
"Pangoro","pangoro","Pangoro"
"Paras","paras","Paras"
"Parasect","parasect","Parasect"
"Pawniard","pawniard","Pawniard"
"Persian","persian","Persian"
"Pidgeot","pidgeot","Pidgeot"
"Pidgeotto","pidgeotto","Pidgeotto"
"Pidgey (121)","pidgey","Pidgey"
"Pidgey (122)","pidgey","Pidgey"
"Pikachu & Zekrom GX","pikachu","Pikachu"
"Pikachu & Zekrom GX (Full Art)","pikachu","Pikachu"
"Pikachu & Zekrom GX (Secret)","pikachu","Pikachu"
"Pinsir","pinsir","Pinsir"
"Pokemon Communication","pokemon communication",NA
"Pokemon Communication (Secret)","pokemon communication",NA
"Ponyta","ponyta","Ponyta"
"Poochyena","poochyena","Poochyena"
"Primeape","primeape","Primeape"
"Psychic Energy (2019 Unnumbered)","psychic energy",NA
"Psyduck","psyduck","Psyduck"
"Pupitar","pupitar","Pupitar"
"Rapidash","rapidash","Rapidash"
"Return Label","return label",NA
"Sabrina's Suggestion","suggestion",NA
"Sabrina's Suggestion (Full Art)","suggestion",NA
"Shaymin Prism Star","shaymin",NA
"Skarmory","skarmory","Skarmory"
"Spiritomb","spiritomb","Spiritomb"
"Squirtle (22)","squirtle","Squirtle"
"Squirtle (23)","squirtle","Squirtle"
"Starmie","starmie","Starmie"
"Staryu","staryu","Staryu"
"Tapu Koko Prism Star","tapu koko","Tapu Koko"
"Tauros","tauros","Tauros"
"Tentacool","tentacool","Tentacool"
"Tentacruel","tentacruel","Tentacruel"
"Torracat","torracat","Torracat"
"Tyranitar","tyranitar","Tyranitar"
"Unidentified Fossil","unidentified fossil",NA
"Viridian Forest","viridian forest",NA
"Voltorb","voltorb","Voltorb"
"Vullaby","vullaby","Vullaby"
"Vulpix","vulpix","Vulpix"
"Wartortle","wartortle","Wartortle"
"Water Energy (2019 Unnumbered)","water energy",NA
"Water Memory","water memory",NA
"Weedle (2)","weedle","Weedle"
"Weedle (3)","weedle","Weedle"
"Wondrous Labyrinth Prism Star","wondrous labyrinth",NA
"Yveltal","yveltal","Yveltal"
"Zangoose","zangoose","Zangoose"
"Zapdos","zapdos","Zapdos"
"Zebstrika","zebstrika","Zebstrika"
"Zeraora","zeraora","Zeraora"
"Zoroark","zoroark","Zoroark"
"Zorua","zorua","Zorua"
"Chansey","chansey","Chansey"
"Cubone","cubone","Cubone"
"Dratini","dratini","Dratini"
"Eevee","eevee","Eevee"
"Growlithe","growlithe","Growlithe"
"Horsea","horsea","Horsea"
"Machop","machop","Machop"
"Magnemite","magnemite","Magnemite"
"Pikachu","pikachu","Pikachu"
"Porygon","porygon","Porygon"
"Psyduck","psyduck","Psyduck"
"Slowpoke","slowpoke","Slowpoke"
"Adventure Bag","adventure bag",NA
"Adventure Bag (Secret)","adventure bag",NA
"Aether Foundation Employee","aether foundation employee",NA
"Alolan Diglett","diglett","Diglett"
"Alolan Dugtrio","dugtrio","Dugtrio"
"Alolan Meowth","meowth","Meowth"
"Alolan Ninetales GX","ninetales","Ninetales"
"Alolan Ninetales GX (Full Art)","ninetales","Ninetales"
"Alolan Ninetales GX (Secret)","ninetales","Ninetales"
"Alolan Persian","persian","Persian"
"Alolan Vulpix","vulpix","Vulpix"
"Ampharos","ampharos","Ampharos"
"Ariados","ariados","Ariados"
"Azumarill","azumarill","Azumarill"
"Bayleef","bayleef","Bayleef"
"Beartic","beartic","Beartic"
"Beautifly","beautifly","Beautifly"
"Blacephalon GX","blacephalon","Blacephalon"
"Blacephalon GX (Full Art)","blacephalon","Blacephalon"
"Blacephalon GX (Secret)","blacephalon","Blacephalon"
"Blissey","blissey","Blissey"
"Blitzle","blitzle","Blitzle"
"Brionne","brionne","Brionne"
"Bruxish","bruxish","Bruxish"
"Carbink (117)","carbink","Carbink"
"Carbink (143)","carbink","Carbink"
"Cascoon","cascoon","Cascoon"
"Celebi Prism Star","celebi","Celebi"
"Chandelure","chandelure","Chandelure"
"Chansey","chansey","Chansey"
"Chikorita (5)","chikorita","Chikorita"
"Chikorita (6)","chikorita","Chikorita"
"Chinchou","chinchou","Chinchou"
"Choice Helmet","choice helmet",NA
"Choice Helmet (Secret)","choice helmet",NA
"Cobalion","cobalion","Cobalion"
"Cofagrigus","cofagrigus","Cofagrigus"
"Combee","combee","Combee"
"Counter Gain","counter gain",NA
"Counter Gain (Secret)","counter gain",NA
"Cubchoo","cubchoo","Cubchoo"
"Custom Catcher","custom catcher",NA
"Custom Catcher (Secret)","custom catcher",NA
"Cutiefly","cutiefly","Cutiefly"
"Cyndaquil (39)","cyndaquil","Cyndaquil"
"Cyndaquil (40)","cyndaquil","Cyndaquil"
"Dedenne (142)","dedenne","Dedenne"
"Dedenne (84)","dedenne","Dedenne"
"Delibird","delibird","Delibird"
"Dialga","dialga","Dialga"
"Ditto Prism Star","ditto","Ditto"
"Donphan","donphan","Donphan"
"Durant","durant","Durant"
"Dustox","dustox","Dustox"
"Eevee","eevee","Eevee"
"Electabuzz","electabuzz","Electabuzz"
"Electivire","electivire","Electivire"
"Electropower","electropower",NA
"Electropower (Secret)","electropower",NA
"Entei","entei","Entei"
"Espeon","espeon","Espeon"
"Faba","faba",NA
"Faba (Full Art)","faba",NA
"Fairy Charm F","fairy charm f",NA
"Fairy Charm G","fairy charm",NA
"Fairy Charm O","fairy charm o",NA
"Fairy Charm P","fairy charm p",NA
"Flaaffy","flaaffy","Flaaffy"
"Forretress","forretress","Forretress"
"Gardevoir","gardevoir","Gardevoir"
"Genesect GX","genesect","Genesect"
"Genesect GX (Full Art)","genesect","Genesect"
"Genesect GX (Secret)","genesect","Genesect"
"Girafarig","girafarig","Girafarig"
"Giratina","giratina","Giratina"
"Gogoat","gogoat","Gogoat"
"Granbull","granbull","Granbull"
"Grovyle","grovyle","Grovyle"
"Heat Factory Prism Star","heat factory",NA
"Heatran","heatran","Heatran"
"Heracross","heracross","Heracross"
"Hitmontop","hitmontop","Hitmontop"
"Ho-Oh","ho-oh","Ho-oh"
"Hoppip (11)","hoppip","Hoppip"
"Hoppip (12)","hoppip","Hoppip"
"Houndoom","houndoom","Houndoom"
"Houndour","houndour","Houndour"
"Jigglypuff","jigglypuff","Jigglypuff"
"Judge (Full Art)","judge",NA
"Jumpluff","jumpluff","Jumpluff"
"Kahili","kahili",NA
"Kahili (Full Art)","kahili",NA
"Kecleon (161)","kecleon","Kecleon"
"Kecleon (162)","kecleon","Kecleon"
"Kirlia","kirlia","Kirlia"
"Lampent","lampent","Lampent"
"Lanturn","lanturn","Lanturn"
"Lapras","lapras","Lapras"
"Larvitar (114)","larvitar","Larvitar"
"Larvitar (115)","larvitar","Larvitar"
"Life Forest Prism Star","life forest",NA
"Litleo","litleo","Litleo"
"Litwick","litwick","Litwick"
"Lost Blender","lost blender",NA
"Lost Blender (Secret)","lost blender",NA
"Lugia GX","lugia","Lugia"
"Lugia GX (Full Art)","lugia","Lugia"
"Lugia GX (Secret)","lugia","Lugia"
"Lusamine Prism Star","lusamine",NA
"Magcargo GX","magcargo","Magcargo"
"Magcargo GX (Full Art)","magcargo","Magcargo"
"Magcargo GX (Secret)","magcargo","Magcargo"
"Magearna","magearna","Magearna"
"Mantine","mantine","Mantine"
"Mareanie (105)","mareanie","Mareanie"
"Mareanie (68)","mareanie","Mareanie"
"Mareep (75)","mareep","Mareep"
"Mareep (76)","mareep","Mareep"
"Marill","marill","Marill"
"Meganium","meganium","Meganium"
"Meloetta","meloetta","Meloetta"
"Memory Energy","memory energy",NA
"Miltank","miltank","Miltank"
"Mimikyu GX","mimikyu","Mimikyu"
"Mimikyu GX (Full Art)","mimikyu","Mimikyu"
"Mimikyu GX (Secret)","mimikyu","Mimikyu"
"Mina","mina",NA
"Mina (Full Art)","mina",NA
"Mixed Herbs","mixed herbs",NA
"Moltres","moltres","Moltres"
"Moomoo Milk","moomoo milk",NA
"Morelull","morelull","Morelull"
"Morty","morty",NA
"Morty (Full Art)","morty",NA
"Naganadel","naganadel","Naganadel"
"Natu","natu","Natu"
"Net Ball","net ball",NA
"Net Ball (Secret)","net ball",NA
"Nihilego","nihilego","Nihilego"
"Nincada","nincada","Nincada"
"Ninjask","ninjask","Ninjask"
"Onix","onix","Onix"
"Pachirisu","pachirisu","Pachirisu"
"Phanpy","phanpy","Phanpy"
"Pikipek (163)","pikipek","Pikipek"
"Pikipek (164)","pikipek","Pikipek"
"Pineco","pineco","Pineco"
"Pinsir","pinsir","Pinsir"
"Poipole","poipole","Poipole"
"Popplio (64)","popplio","Popplio"
"Popplio (65)","popplio","Popplio"
"Primarina","primarina","Primarina"
"Professor Elm's Lecture","professor elm's lecture",NA
"Professor Elm's Lecture (Full Art)","professor elm's lecture",NA
"Pupitar","pupitar","Pupitar"
"Pyroar","pyroar","Pyroar"
"Quilava","quilava","Quilava"
"Raikou","raikou","Raikou"
"Ralts","ralts","Ralts"
"Ribombee","ribombee","Ribombee"
"Sableye","sableye","Sableye"
"Sceptile GX","sceptile","Sceptile"
"Sceptile GX (Full Art)","sceptile","Sceptile"
"Sceptile GX (Secret)","sceptile","Sceptile"
"Scizor","scizor","Scizor"
"Scyther","scyther","Scyther"
"Shaymin","shaymin",NA
"Shedinja","shedinja","Shedinja"
"Shiinotic","shiinotic","Shiinotic"
"Shuckle","shuckle","Shuckle"
"Shuckle GX","shuckle","Shuckle"
"Shuckle GX (Full Art)","shuckle","Shuckle"
"Shuckle GX (Secret)","shuckle","Shuckle"
"Sightseer","sightseer",NA
"Sigilyph GX","sigilyph","Sigilyph"
"Sigilyph GX (Full Art)","sigilyph","Sigilyph"
"Sigilyph GX (Secret)","sigilyph","Sigilyph"
"Silcoon","silcoon","Silcoon"
"Skiddo","skiddo","Skiddo"
"Skiploom","skiploom","Skiploom"
"Slowking","slowking","Slowking"
"Slowpoke","slowpoke","Slowpoke"
"Slugma","slugma","Slugma"
"Smeargle","smeargle","Smeargle"
"Snubbull","snubbull","Snubbull"
"Spell Tag","spell tag",NA
"Spell Tag (Secret)","spell tag",NA
"Spinarak","spinarak","Spinarak"
"Stantler","stantler","Stantler"
"Steelix","steelix","Steelix"
"Stunfisk","stunfisk","Stunfisk"
"Sudowoodo","sudowoodo","Sudowoodo"
"Suicune","suicune","Suicune"
"Suicune GX","suicune","Suicune"
"Suicune GX (Full Art)","suicune","Suicune"
"Suicune GX (Secret)","suicune","Suicune"
"Tangela","tangela","Tangela"
"Tangrowth","tangrowth","Tangrowth"
"Tapu Bulu","tapu bulu","Tapu Bulu"
"Tapu Fini","tapu fini","Tapu Fini"
"Tapu Koko","tapu koko","Tapu Koko"
"Tapu Lele","tapu lele","Tapu Lele"
"Thunder Mountain Prism Star","thunder mountain",NA
"Toucannon","toucannon","Toucannon"
"Toxapex","toxapex","Toxapex"
"Treecko","treecko","Treecko"
"Trumbeak","trumbeak","Trumbeak"
"Typhlosion","typhlosion","Typhlosion"
"Tyranitar GX","tyranitar","Tyranitar"
"Tyranitar GX (Full Art)","tyranitar","Tyranitar"
"Tyranitar GX (Secret)","tyranitar","Tyranitar"
"Umbreon","umbreon","Umbreon"
"Unown (90)","unown","Unown"
"Unown (91)","unown","Unown"
"Unown (92)","unown","Unown"
"Vespiquen","vespiquen","Vespiquen"
"Victini","victini","Victini"
"Virizion GX","virizion","Virizion"
"Virizion GX (Full Art)","virizion","Virizion"
"Virizion GX (Secret)","virizion","Virizion"
"Wait and See Hammer","wait",NA
"Wait and See Hammer (Secret)","wait",NA
"White Kyurem","white kyurem","White Kyurem"
"Whitney","whitney",NA
"Whitney (Full Art)","whitney",NA
"Wigglytuff","wigglytuff","Wigglytuff"
"Wobbuffet","wobbuffet","Wobbuffet"
"Wurmple (23)","wurmple","Wurmple"
"Wurmple (24)","wurmple","Wurmple"
"Xatu","xatu","Xatu"
"Xerneas Prism Star","xerneas","Xerneas"
"Yamask","yamask","Yamask"
"Zebstrika","zebstrika","Zebstrika"
"Zeraora GX","zeraora","Zeraora"
"Zeraora GX (Full Art)","zeraora","Zeraora"
"Zeraora GX (Secret)","zeraora","Zeraora"
"Alolan Vulpix (Build-A-Bear Workshop Exclusive)","vulpix","Vulpix"
"Alolan Vulpix (Toys R Us Promo)","vulpix","Vulpix"
"Amaura - 25/111 (Cosmos Holo)","amaura","Amaura"
"Ancient Mew","mew","Mew"
"Aurorus - 26/111 (Cosmos Holo)","aurorus","Aurorus"
"Bebe's Search (Cosmos Holofoil)","bebe's search",NA
"Bellossom (Cosmos Holo)","bellossom","Bellossom"
"Bisharp (Cosmos Holo)","bisharp","Bisharp"
"Blacksmith (Sheen Holo) (Pyroar Collection Exclusive)","blacksmith",NA
"Blastoise - 13/95 (Cracked Ice Holo)","blastoise","Blastoise"
"Blissey - 153/214 (Cosmos Holo)","blissey","Blissey"
"Blissey - 81/119 (Cosmos Holo)","blissey","Blissey"
"Brionne (Cosmos Holo)","brionne","Brionne"
"Bulbasaur (Build-A-Bear Workshop Exclusive)","bulbasaur","Bulbasaur"
"Bulbasaur (General Mills Promo)","bulbasaur","Bulbasaur"
"Charizard - 1/99 (Cracked Ice Holo)","charizard","Charizard"
"Charizard - 19/113 (Cosmos Holo)","charizard","Charizard"
"Charizard - No.006 (JP Premium File 2)","charizard no.",NA
"Charmander - 18a/147 (General Mills Promo)","charmander","Charmander"
"Charmander (Build-A-Bear Workshop Exclusive)","charmander","Charmander"
"Charmander (Premium Collection Promo)","charmander","Charmander"
"Charmander (Toys R Us Promo)","charmander","Charmander"
"Charmeleon (Premium Collection Promo)","charmeleon","Charmeleon"
"Chimchar (Cosmos Holo)","chimchar","Chimchar"
"Cinderace - 034/202 (Cosmos Holo)","cinderace","Cinderace"
"Clefairy (Toys R Us Promo)","clefairy","Clefairy"
"Cosmog - SM42 (General Mills Promo)","cosmog","Cosmog"
"Cosmog (Toys R Us Promo)","cosmog","Cosmog"
"Crobat (Cosmos Holo)","crobat","Crobat"
"Cubone (General Mills Promo)","cubone","Cubone"
"Cynthia's Feelings (Cosmos Holofoil)","cynthia's feelings",NA
"Dartrix (Cosmos Holo)","dartrix","Dartrix"
"Deoxys (Normal Forme) (Movie Promo)","deoxys","Deoxys"
"Ditto 64/113 (Games Expo Exclusive)","ditto","Ditto"
"Dragonite - 119/181 (Cosmos Holo)","dragonite","Dragonite"
"Dragonite - 96/149 (Cosmos Holo)","dragonite","Dragonite"
"Eevee (Build-A-Bear Workshop Exclusive)","eevee","Eevee"
"Eevee (Cosmos Holo)","eevee","Eevee"
"Eevee (General Mills Promo)","eevee","Eevee"
"Eevee on the Ball","eevee","Eevee"
"Electabuzz (Toys R Us Promo)","electabuzz","Electabuzz"
"Entei - 4/132 (Cracked Ice Holo)","entei","Entei"
"Fiery Torch (Sheen Holo) (Pyroar Collection Exclusive)","fiery torch",NA
"Fighting Energy (JP VS Set Unnumbered)","fighting energy",NA
"Fire Energy (JP VS Set Unnumbered)","fire energy",NA
"Flapple - 022/192 (Gamestop Exclusive)","flapple","Flapple"
"Flareon - 13/98 (Cosmos Holo)","flareon","Flareon"
"Fossil Researcher - 92/111 (Cosmos Holo)","fossil researcher",NA
"Galarian Ponyta - SWSH013 (General Mills Promo)","ponyta","Ponyta"
"Garchomp (Cosmos Holo)","garchomp","Garchomp"
"Gardevoir - 141/214 (Cosmos Holo)","gardevoir","Gardevoir"
"Gengar Spirit Link - 95/119 (Alternate Holo) (Gamestop Exclusive)","gengar","Gengar"
"Geodude (Toys R Us Promo)","geodude","Geodude"
"Gossifleur - SWSH010 (General Mills Promo)","gossifleur","Gossifleur"
"Grass Energy (JP VS Set Unnumbered)","grass energy",NA
"Grookey - 10/202 (Cosmos Holo)","grookey","Grookey"
"Grookey (Premium Collection) - 11/202","grookey","Grookey"
"Grookey on the Ball","grookey","Grookey"
"Groudon (Cosmos Holo) [Gamestop Promo]","groudon","Groudon"
"Gyarados - 20/98 (Cosmos Holo)","gyarados","Gyarados"
"Gyarados - 4/123 (Cracked Ice Holo)","gyarados","Gyarados"
"Hatenna - SWSH040 (General Mills Promo)","hatenna","Hatenna"
"Hydreigon - 110/189 (Thank You Promo)","hydreigon","Hydreigon"
"Inteleon - 058/202 (Cosmos Holo)","inteleon","Inteleon"
"Jangmo-o - 75/111 (Cosmos Holo) (EB Games Promo)","jangmo-o","Jangmo-o"
"Jangmo-o - SM40 (General Mills Promo)","jangmo-o","Jangmo-o"
"Jangmo-o (Toys R Us Promo)","jangmo-o","Jangmo-o"
"Jigglypuff (Build-A-Bear Workshop Exclusive)","jigglypuff","Jigglypuff"
"Jolteon - 26/98 (Cosmos Holo)","jolteon","Jolteon"
"Lightning Energy (JP VS Set Unnumbered)","lightning energy",NA
"Litten - SM02 (General Mills Promo)","litten","Litten"
"Litten (Cosmos Holo)","litten","Litten"
"Litten (Water Web Holo)","litten","Litten"
"Lucario - 080/113 (Cosmos Holo)","lucario","Lucario"
"Lucario - 63/124 (Cosmos Holo)","lucario","Lucario"
"Lugia - 29/115","lugia","Lugia"
"Magikarp (Toys R Us Promo)","magikarp","Magikarp"
"Magmortar - 2/95 (Cracked Ice Holo)","magmortar","Magmortar"
"Mareep (Toys R Us Promo)","mareep","Mareep"
"Meowth (Build-A-Bear Workshop Exclusive)","meowth","Meowth"
"Meowth (Gold Bordered Promo)","meowth","Meowth"
"Meowth (Mirror Reverse Holo)","meowth","Meowth"
"Meowth (Toys R Us Promo)","meowth","Meowth"
"Mew (Non-Holo DVD Promo)","mew","Mew"
"Morpeko - SWSH012 (General Mills Promo)","morpeko","Morpeko"
"Mudkip - 33/160 (Sheen Holo)","mudkip","Mudkip"
"Pansear (Energy Reverse Holo)","pansear","Pansear"
"Pignite (Cracked Ice Holo)","pignite","Pignite"
"Pikachu - 20 (Build-A-Bear Workshop Exclusive)","pikachu","Pikachu"
"Pikachu - 28/73 (General Mills Promo)","pikachu","Pikachu"
"Pikachu - 28/73 (Water Web Holo)","pikachu","Pikachu"
"Pikachu - 58/102 (PokeTour 1999 Promo)","pikachu","Pikachu"
"Pikachu - 60/106 (2005 San Diego Comic Con)","pikachu","Pikachu"
"Pikachu - SM04 (General Mills Promo)","pikachu","Pikachu"
"Pikachu - SM86 (Build-A-Bear Workshop Exclusive)","pikachu","Pikachu"
"Pikachu - SM86 (General Mills Promo)","pikachu","Pikachu"
"Pikachu - SWSH039 (General Mills Promo)","pikachu","Pikachu"
"Pikachu (10th Anniversary Promo)","pikachu","Pikachu"
"Pikachu (2014 Movie Promo)","pikachu","Pikachu"
"Pikachu (Cracked Ice Holo)","pikachu","Pikachu"
"Pikachu (E3 Stamped Promo with Red Cheeks)","pikachu","Pikachu"
"Pikachu (E3 Stamped Promo)","pikachu","Pikachu"
"Pikachu (Toys R Us Promo)","pikachu","Pikachu"
"Pikachu on the Ball","pikachu","Pikachu"
"Piplup (Build-A-Bear Workshop Exclusive)","piplup","Piplup"
"Piplup (Cosmos Holo)","piplup","Piplup"
"Piplup (Toys R Us Promo)","piplup","Piplup"
"Politoed (Cosmos Holo)","politoed","Politoed"
"Ponyta (Toys R Us Promo)","ponyta","Ponyta"
"Popplio - SM03 (General Mills Promo)","popplio","Popplio"
"Popplio (Cosmos Holo)","popplio","Popplio"
"Popplio (Water Web Holo)","popplio","Popplio"
"Professor Rowan (Cosmos Holo)","professor rowan",NA
"Psychic Energy (JP VS Set Unnumbered)","psychic energy",NA
"Psyduck (Build-A-Bear Workshop Exclusive)","psyduck","Psyduck"
"Raikou - 16/132 (Cracked Ice Holo)","raikou","Raikou"
"Rayquaza C (Cracked Ice)","rayquaza","Rayquaza"
"Reshiram - 17/116 (Cosmos Holo)","reshiram","Reshiram"
"Rillaboom - 014/202 (Cosmos Holo)","rillaboom","Rillaboom"
"Riolu (SDCC 2009)","riolu","Riolu"
"Riolu (SDCC 2009) [Staff]","riolu","Riolu"
"Rockruff - SM06 (General Mills Promo)","rockruff","Rockruff"
"Rowlet - 9/149 (Water Web Holo)","rowlet","Rowlet"
"Rowlet - SM01 (General Mills Promo)","rowlet","Rowlet"
"Rowlet (Cosmos Holo)","rowlet","Rowlet"
"Salamence - 106/168 (Cosmos Holo)","salamence","Salamence"
"Sandile - 63/114 (Cracked Ice Holo)","sandile","Sandile"
"Scorbunny - 30/202 (Cosmos Holo)","scorbunny","Scorbunny"
"Scorbunny (Premium Collection) - 31/202","scorbunny","Scorbunny"
"Shiftry (Cosmos Holo) - 11/114","shiftry","Shiftry"
"Shinx - 046/163 (Cosmos Holo)","shinx","Shinx"
"Slowpoke (Toys R Us Promo)","slowpoke","Slowpoke"
"Snorlax (Build-a-Bear Workshop Exclusive)","snorlax","Snorlax"
"Snubbull (Build-A-Bear Workshop Exclusive)","snubbull","Snubbull"
"Sobble - 54/202 (Cosmos Holo)","sobble","Sobble"
"Sobble (Premium Collection) - 55/202","sobble","Sobble"
"Squirtle - 33/214 (Premium Collection Promo)","squirtle","Squirtle"
"Squirtle (Build-A-Bear Workshop Exclusive)","squirtle","Squirtle"
"Stufful (Toys R Us Promo)","stufful","Stufful"
"Tangela (Toys R Us Promo)","tangela","Tangela"
"Tepig - 023/163 (Cosmos Holo)","tepig","Tepig"
"Torchic - 25/160 (Sheen Holo)","torchic","Torchic"
"Treecko - 6/160 (Sheen Holo)","treecko","Treecko"
"Treecko - 70/106 (Gen Con The Best Four Days in Gaming Promo)","treecko","Treecko"
"Treecko (Toys R Us Exclusive)","treecko","Treecko"
"Tyranitar (Cosmos Holo) - 56/124","tyranitar","Tyranitar"
"Tyrantrum - 62/111 (Cosmos Holo)","tyrantrum","Tyrantrum"
"Tyrunt - 61/111 (Cosmos Holo)","tyrunt","Tyrunt"
"Vulpix (Build-A-Bear Workshop Exclusive)","vulpix","Vulpix"
"Wartortle - 34/214 (Premium Collection Promo)","wartortle","Wartortle"
"Water Energy (JP VS Set Unnumbered)","water energy",NA
"Wooloo - SWSH011 (General Mills Promo)","wooloo","Wooloo"
"Zekrom - 39/116 (Cosmos Holo)","zekrom","Zekrom"
"Zoroark (Cosmos Holo) - 91/162","zoroark","Zoroark"
"Altaria","altaria","Altaria"
"Altaria GX","altaria","Altaria"
"Altaria GX (Full Art)","altaria","Altaria"
"Altaria GX (Secret)","altaria","Altaria"
"Bagon","bagon","Bagon"
"Blaine's Last Stand","last stand",NA
"Blaine's Last Stand (Full Art)","last stand",NA
"Blaziken","blaziken","Blaziken"
"Charizard","charizard","Charizard"
"Charmander","charmander","Charmander"
"Charmeleon","charmeleon","Charmeleon"
"Combusken","combusken","Combusken"
"Corsola","corsola","Corsola"
"Croconaw","croconaw","Croconaw"
"Darmanitan","darmanitan","Darmanitan"
"Darumaka","darumaka","Darumaka"
"Dragon Talon","dragon talon",NA
"Dragon Talon (Secret)","dragon talon",NA
"Dragonair","dragonair","Dragonair"
"Dragonite GX","dragonite","Dragonite"
"Dragonite GX (Full Art)","dragonite","Dragonite"
"Drampa","drampa","Drampa"
"Dratini (34)","dratini","Dratini"
"Dratini (35)","dratini","Dratini"
"Druddigon","druddigon","Druddigon"
"Feebas","feebas","Feebas"
"Feraligatr","feraligatr","Feraligatr"
"Fiery Flint","fiery flint",NA
"Fiery Flint (Secret)","fiery flint",NA
"Flygon","flygon","Flygon"
"Gyarados","gyarados","Gyarados"
"Hakamo-o","hakamo-o","Hakamo-o"
"Heatmor","heatmor","Heatmor"
"Horsea (15)","horsea","Horsea"
"Horsea (16)","horsea","Horsea"
"Hydreigon","hydreigon","Hydreigon"
"Jangmo-o","jangmo-o","Jangmo-o"
"Kangaskhan","kangaskhan","Kangaskhan"
"Kingdra GX","kingdra","Kingdra"
"Kingdra GX (Full Art)","kingdra","Kingdra"
"Kommo-o","kommo-o","Kommo-o"
"Kyurem","kyurem","Kyurem"
"Lance Prism Star","lance",NA
"Lapras","lapras","Lapras"
"Litten","litten","Litten"
"Magikarp","magikarp","Magikarp"
"Milotic","milotic","Milotic"
"Phione","phione","Phione"
"Quagsire","quagsire","Quagsire"
"Reshiram GX","reshiram","Reshiram"
"Reshiram GX (Full Art)","reshiram","Reshiram"
"Reshiram GX (Secret)","reshiram","Reshiram"
"Salamence GX","salamence","Salamence"
"Salamence GX (Secret)","salamence","Salamence"
"Salandit","salandit","Salandit"
"Salazzle","salazzle","Salazzle"
"Seadra","seadra","Seadra"
"Shelgon","shelgon","Shelgon"
"Swablu (56)","swablu","Swablu"
"Swablu (57)","swablu","Swablu"
"Switch Raft","switch raft",NA
"Switch Raft (Secret)","switch raft",NA
"Torchic","torchic","Torchic"
"Totodile","totodile","Totodile"
"Trapinch","trapinch","Trapinch"
"Turtonator","turtonator","Turtonator"
"Ultra Necrozma GX (Secret)","ultra necrozma","Ultra Necrozma"
"Vibrava","vibrava","Vibrava"
"Victini Prism Star","victini","Victini"
"Wela Volcano Park","wela volcano park",NA
"White Kyurem GX","white kyurem","White Kyurem"
"White Kyurem GX (Secret)","white kyurem","White Kyurem"
"Wishiwashi","wishiwashi","Wishiwashi"
"Wooper","wooper","Wooper"
"Zekrom","zekrom","Zekrom"
"Zinnia","zinnia",NA
"Zinnia (Full Art)","zinnia",NA
"Zygarde","zygarde","Zygarde"
"Acro Bike","acro bike",NA
"Acro Bike (Secret)","acro bike",NA
"Alolan Raticate GX","raticate","Raticate"
"Alolan Rattata","rattata","Rattata"
"Apricorn Maker","apricorn maker",NA
"Apricorn Maker (Full Art)","apricorn maker",NA
"Ariados","ariados","Ariados"
"Articuno GX","articuno","Articuno"
"Articuno GX (Full Art)","articuno","Articuno"
"Articuno GX (Secret)","articuno","Articuno"
"Bagon (103)","bagon","Bagon"
"Bagon (104)","bagon","Bagon"
"Baltoy","baltoy","Baltoy"
"Banette","banette","Banette"
"Banette GX","banette","Banette"
"Banette GX (Full Art)","banette","Banette"
"Banette GX (Secret)","banette","Banette"
"Beast Ball","beast ball",NA
"Beldum (92)","beldum","Beldum"
"Beldum (93)","beldum","Beldum"
"Bellsprout","bellsprout","Bellsprout"
"Bill's Maintenance","bill's maintenance",NA
"Bill's Maintenance (Full Art)","bill's maintenance",NA
"Blaziken GX","blaziken","Blaziken"
"Blaziken GX (Full Art)","blaziken","Blaziken"
"Blaziken GX (Secret)","blaziken","Blaziken"
"Cacnea","cacnea","Cacnea"
"Cacturne","cacturne","Cacturne"
"Celesteela","celesteela","Celesteela"
"Chinchou","chinchou","Chinchou"
"Clamperl","clamperl","Clamperl"
"Claydol","claydol","Claydol"
"Combusken","combusken","Combusken"
"Copycat","copycat",NA
"Copycat (Full Art)","copycat",NA
"Delcatty","delcatty","Delcatty"
"Deoxys (67)","deoxys","Deoxys"
"Deoxys (68)","deoxys","Deoxys"
"Deoxys (69)","deoxys","Deoxys"
"Dhelmise","dhelmise","Dhelmise"
"Donphan","donphan","Donphan"
"Dunsparce","dunsparce","Dunsparce"
"Electrike","electrike","Electrike"
"Electrode GX","electrode","Electrode"
"Electrode GX (Full Art)","electrode","Electrode"
"Electrode GX (Secret)","electrode","Electrode"
"Energy Recycle System","energy recycle system",NA
"Energy Switch","energy switch",NA
"Exploud","exploud","Exploud"
"Fisherman","fisherman",NA
"Friend Ball","friend ball",NA
"Gorebyss","gorebyss","Gorebyss"
"Groudon","groudon","Groudon"
"Grovyle","grovyle","Grovyle"
"Grumpig","grumpig","Grumpig"
"Gulpin","gulpin","Gulpin"
"Hau","hau",NA
"Heatran","heatran","Heatran"
"Hiker","hiker",NA
"Huntail","huntail","Huntail"
"Hustle Belt","hustle belt",NA
"Hustle Belt (Secret)","hustle belt",NA
"Illumise","illumise","Illumise"
"Jirachi Prism Star","jirachi","Jirachi"
"Kartana","kartana","Kartana"
"Kecleon","kecleon","Kecleon"
"Kyogre","kyogre","Kyogre"
"Lanturn","lanturn","Lanturn"
"Larvitar","larvitar","Larvitar"
"Last Chance Potion","last chance potion",NA
